baseline,noise_std,noise_threshold,peak_index,amplitude,area_total,area_after_peak,area_short,area_long,psd,signal_start_index,signal_end_index,signal_width_noise,tail_mean,tail_std,tail_max,area_to_amplitude,tail_to_amplitude,mean_after_5,mean_after_10,mean_after_20,decay_ratio_3,decay_ratio_5,decay_ratio_10,decay_ratio_20,decay_ratio_30,meta_1,meta_2
14821.48,2.906819567843866,8.720458703531598,149,530.4799999999996,5107.879999999845,4134.639999999883,2260.8399999999965,3292.799999999974,0.31339893100096744,146,208,63,54.87999999999956,104.62635104663326,530.4799999999996,9.628789021263476,7.794148695520823,367.87999999999954,241.47999999999956,137.62999999999957,0.5456944653898352,0.36095611521640725,0.12343537927914269,0.03483637460413131,0.02164077816317217,357,113
14822.48,2.4432764886520726,7.329829465956218,150,1901.4799999999996,12659.199999999852,10287.759999999886,8188.8399999999965,9591.799999999974,0.1462666027231574,61,208,148,159.8633333333329,402.2548152463671,1901.4799999999996,6.657550960304528,5.410396112501782,1391.2799999999995,854.0799999999996,456.87999999999954,0.5629720007573047,0.2889749037591769,0.06441298357069208,0.011296463807139475,0.007615120853229887,740,359
14821.9,2.41039415863879,7.23118247591637,151,2557.8999999999996,17257.69999999988,11484.399999999907,9066.199999999997,10724.099999999979,0.1545957236504681,144,199,56,178.73499999999964,471.7628036859908,2557.8999999999996,6.746823566206608,4.4897767700066105,1576.0999999999997,945.8999999999996,514.2999999999996,0.41553618202431675,0.20716212518081228,0.052347628914343663,0.009343602173657938,0.0066069822901597556,162,499
14822.56,2.7214701909078487,8.164410572723547,149,564.5599999999995,4954.039999999843,4153.479999999881,2608.479999999996,3549.4799999999705,0.2651092554402285,146,205,60,59.15799999999951,121.41183982352517,564.5599999999995,8.775046053563566,7.357021397194072,428.95999999999947,275.0599999999995,155.9599999999995,0.6085447073827401,0.3304520334419719,0.08955646875442741,0.02401870483208074,0.020476122998440382,841,123
14821.6,2.835489375751565,8.506468127254696,150,1793.6000000000004,12067.600000000117,9331.600000000088,7402.800000000003,8793.400000000021,0.1581413332726835,146,204,59,146.556666666667,369.13885028385846,1793.6000000000004,6.728144513827004,5.202720785013429,1270.4000000000003,779.1000000000004,419.50000000000034,0.5277653880463873,0.2595896520963427,0.06110615521855505,0.016503122212310636,0.004237288135593422,412,348
14821.46,2.5628889948649745,7.688666984594923,150,235.45999999999913,2890.459999999737,2003.7399999998088,965.679999999993,1494.759999999951,0.3539564879980568,145,208,64,24.912666666665853,44.754491762155965,235.45999999999913,12.275800560603702,8.509895523655041,157.05999999999912,104.55999999999912,61.609999999999125,0.5073473201393,0.35870211500891636,0.12086978680030253,0.03592966958294045,0.014694640278599931,1310,61
14822.02,2.36211769393483,7.08635308180449,150,845.0200000000004,8012.620000000166,6570.700000000124,3804.1600000000035,5592.200000000026,0.3197382067880287,145,209,65,93.20333333333377,179.22848468427728,845.0200000000004,9.482166102577645,7.77579228894005,638.0200000000004,406.12000000000046,233.72000000000043,0.6142103145487683,0.3183593287732838,0.09351257958391564,0.05801046129085751,0.03315897848571681,1154,195
14822.6,2.3409399821439245,7.022819946431774,148,167.60000000000036,1673.6000000000877,1274.4000000000615,653.8000000000029,944.2000000000171,0.30756195721246443,145,183,39,15.736666666666952,32.02695722182941,167.60000000000036,9.985680190931289,7.60381861575214,107.60000000000036,70.60000000000036,39.80000000000037,0.3973747016706457,0.3019093078758965,0.10501193317422629,0.07517899761336716,0.027446300715992564,1904,31
14823.74,3.005395148728366,9.016185446185098,151,2062.74,13772.919999999933,9561.079999999947,7561.919999999998,8893.919999999987,0.14976523287818994,146,210,65,148.2319999999998,389.6791563016939,2062.74,6.677002433656173,4.6351357902595325,1307.5399999999997,787.8399999999998,424.2399999999998,0.44103474019992817,0.2194847629851556,0.060472963146106534,0.011024171732743721,0.0018131223518231974,1083,397
14822.98,2.7017771928861936,8.10533157865858,151,1639.9799999999996,14739.259999999853,11650.579999999882,7258.8399999999965,10326.799999999974,0.2970871906108364,146,210,65,172.1133333333329,339.47923189628096,1639.9799999999996,8.987463261747008,7.104098830473472,1185.1799999999996,779.0799999999996,455.67999999999955,0.5506042756618982,0.33047963999560953,0.14998963401992685,0.04815912389175452,0.021329528408882775,1654,391
14823.42,2.6464315596667145,7.9392946790001435,148,405.4200000000001,3084.120000000021,2588.6200000000154,1806.3600000000006,2173.5800000000036,0.16894708269306968,146,182,37,36.22633333333339,89.77038579930218,405.4200000000001,7.60722214000301,6.3850328054857055,316.2200000000001,189.62000000000006,102.57000000000008,0.6300133195204973,0.2526269054314046,0.08736618815056008,0.00843569631493284,0.003502540575206138,341,73
